"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-11","0.00",",,S","83","H,,S",,,"76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-12","0.00",",,S","83","H,,S","87",",,S","78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-13","0.00",",,S","80","H,,S","84",",,S","77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-14","0.33",",,S","82","H,,S","87",",,S","75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-15","0.00",",,S","83","H,,S",,,"77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-16","0.00",",,S","86","H,,S","90",",,S","78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-18","0.00",",,S","82","H,,S",,,"75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-19","0.00",",,S","82","H,,S",,,"76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-20","0.02",",,S","83","H,,S","90",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-21","0.17",",,S","82","H,,S",,,"76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-22","0.42",",,S","78","H,,S",,,"75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-23","0.67",",,S","81","H,,S","84",",,S","72",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-24","0.28",",,S","85","H,,S","89",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-25","0.02",",,S","83","H,,S","89",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-26","0.18",",,S","80","H,,S","84",",,S","73",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-27","0.57",",,S","81","H,,S","87",",,S","73",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-28","0.08",",,S","83","H,,S","89",",,S","75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-29","0.00",",,S","84","H,,S","89",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-09-01","0.28",",,S","81","H,,S","89",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-09-02","0.14",",,S","83","H,,S","90",",,S","75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-09-03","0.02",",,S","84","H,,S","90",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-09-04","0.00",",,S","83","H,,S",,,"76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-09-05","0.23",",,S","80","H,,S","88",",,S","77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-09-06","0.98",",,S","83","H,,S","87",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-09-07","0.06",",,S","87","H,,S","91",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-09-08","0.00",",,S","84","H,,S","92",",,S",,
